id,question1,question2,is_duplicate
390328,"As BTech freshers, we have some entry level exam like eLitmus. Is there any exam like MBA fresher's?","What is Technology Axes, Technology Atlas, Technology Portfolio and Technology Life cycle w.r.to telecom industry?",0
169285,Could dark matter fill 'empty' space and be displaced by matter? Could the Milky Way's halo be the state of displacement of the dark matter?,Is the latest challenge to the notion that dark matter surrounds galaxies evidence dark matter is displaced by matter?,0
244500,What do you think of the Government's move of banning old Rs. 500 & Rs. 1000 notes?,What do you think will be the effect of Modi Government's decision of invalidating the RS 500 and RS 1000 notes?,1
77486,"Which one is a better choice: Moto E3 Power, Lenovo Vibe K5, Gionee Pioneer P5L, Lenovo Vibe P1M?",What major motion picture has the most realistic visual depiction of what faster-than-light travel might look like?,0
110913,"I've finished learning HTML, CSS, and JavaScript. What should I learn now?","I've finished learning HTML, CSS, and JavaScript basic. What should I learn now?",1
13437,Is it possible in any way to save the money if one draws a demand draft in favour of an institution (DD didn't reach the proper place)?,"In whose favor do we have to make a demand draft of an MS in Ramaiah Institute of Technology, Bangalore?",0
379044,How much should I pay for enterprise software maintenance and support?,How should I charge enterprise software maintenance & support services?,0
60997,What is the difference between an agency and a consulting company?,"What are the comparative differences between a Sole Proprietorship and an LLC? What would be my best bet, if I want to open a Consulting Company?",0
97669,Everyone admits that WWE is not the same as used to be in the 90s? Why it so? What can be done?,Is atheism just as illogical as religion? Why can't everyone be agnostic?,0
28135,Why does India still cry today over the loss of invasion of China when China was weak in 1962?,Why did the Indian government reward surrendered Indian generals for saving their own life without firing a single shot in the India and China war in 1962?,0
269324,How can I crack bsnl tta with own preparation with in 40 days?,Can I lie about my family's level of eduction in order to be the first generation to go to college?,0
97716,I have forgotten my password for Facebook and no primary email and phone is added to my account. How can I get access to my account?,How can I get back in my Facebook without a vaild email or password?,1
356092,"""The woods are lovely, dark and deep, but I have promises to keep, and miles to go before I sleep"". What do you get from these lines?",Sleep disturbs me. The fear of never waking up and losing all consciousness keeps me from going to sleep. How can I get over this?,0
157994,"In Interstellar, are the elderly people in the videos talking about the Blight that occurred in the Interstellar story, or are they people talking about the U.S. in the early 20th century?",What is the last 30 minutes of the Interstellar movie all about?,0
278344,"What does it mean if tatkal passport aplication status shows ""under review at regional passport office"" since the very first day?","""Passport application is under review at Regional Passport Office."" Can any one advice me about the next step as its already 15 days now?",0
253992,"Do people treat you differently when you wear hijab, even if you are white?","Do people treat you differently after you have started wearing the hijab, even if you are white?",1
334280,What is your view/opinion about Govt scrapping Rs.500 and Rs.1000 currency notes?,What do you think about ban on Rs. 500 and Rs. 1000 currency notes?,1
18129,What are the biggest mistakes people make when visiting the Netherlands?,What are the biggest mistakes people make when visiting Sweden?,0
85764,Is there anything that we cannot manufacture or harvest on a large scale that is needed for humans?,What cannot be manufactured or harvested on a large scale that humans need?,1
284539,"With a forgotten Gmail password, how do you find an old Gmail password when you don't remember the recovery information?",How can I reset my Gmail password if I don't remember my recovery Email and current password?,1
93899,Why do we get tears when cutting onions? Edit: And how to stop it?,Why does we get tears while cutting onions and what are the side effects?,1
158796,Is it possible to get a flexible body being a 30-year-old with a less trained body?,"Is it possible for a 20 years old to significantly improve body flexibility? If so, how?",0
194643,Did God deliberately create black people or did black people evolve to be so black?,Did the movie Matrix influence people in the 90s to wear black clothes?,0
196336,What does the order of who views your story on Instagram mean? Why is one person always on top no matter when they view it?,Is there an app where I can see who views or has viewed my Instagram page?,0
147239,What does last seen in truecaller mean? Does it indicate the time when the person last used his phone or when he was last on call?,"How can I hide my ""last seen"" status on WhatsApp, but still see others' ""last seen""?",0
145941,Is forex illegal in India against EUR vs USD or there is an alternative?,What are the different Higher Secondary education courses in different states of India (other than CBSE)?,0
305900,Can a Gemini man and a Gemini woman have a successful relationship? Or are they incompatible?,"What is the compatibility of a Gemini man and a Gemini woman, romantically?",1
152570,What are the positive and negative impacts of movies on society?,Does mass tourism have a net positive or net negative impact on society?,0
26639,How can I update my Android KitKat 4.4.4 to Lollipop on mobile data?,How can I update the KitKat version of Android in the Samsung Galaxy S Duos 2 S7582?,0
83690,Will Narendra Modi succeed in bringing back the black money from foreign banks?,Will Prime Minister Modi be successful in bringing black money back to India?,0
340582,"Do mainstream news organizations and websites pay any royalties if they reference work from an established news agency like ""The Washington Post""?",How do arrange for mobile connections/ sim cards for a Europe tour?,0
314826,How could bringing in new 500 and 2000 rupee notes by the Indian govt eradicate black money?,"How the black money be recovered by simultaneously demonetising 500, 1000 notes and introducing 500 , 2000 notes?",1
366052,I want to start a research project in chemistry. Which topic is best?,I want to write a research proposal but don't know where to start. Which websites/books should I look at to design my proposal and research project?,0
236568,Does Congress party digging their grave slowly as they opposing everything done by PM Modi like saying Jay Shriram or doing surgical strikes?,Does Congress party digging their own grave slowly as they opposing everything done by PM Modi like saying Jay Shriram or doing surgical strikes?,1
398644,What is the meaning of quad-core or octa-core processors in smartphones? How is having an octa-core better than a quad-core?,Which processor is best for an Android phone: dual core or quad core? Why?,0
262244,What's the cheapest way to fly from Chennai to Europe? What time of year is cheapest?,How can I fly from Milan to Fukoka (Japan) in the cheapest way?,0
241722,What are the safety precautions on handling shotguns proposed by the NRA in Michigan?,What are the safety precautions on handling shotguns proposed by the NRA in Kansas?,1
319160,What are the advantage and disanvantages associated with series and parallel connections of lights on a Christmas tree?,"If there is a tree and a man is running around that tree with 99% of the speed of light, then what will happen?",0
